id,motionType,effortsLeft,effortsRight,selected0,selected1,qInd
"1674353254211 ",1,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674400060868 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,1,0
"1674400115503 ",0,"[1,0,1,-1]","[0,1,1,-1]",2,0,0
"1674400115503 ",1,"[1,0,1,-1]","[0,1,1,-1]",2,0,0
"1674400115503 ",0,"[1,0,1,-1]","[1,0,1,1]",2,0,1
"1674400115503 ",1,"[1,0,1,-1]","[1,0,1,1]",1,0,1
"1674400115503 ",0,"[1,1,1,0]","[1,1,1,0]",2,0,2
"1674400115503 ",1,"[1,1,1,0]","[1,1,1,0]",2,1,2
"1674400115503 ",0,"[1,1,1,0]","[1,-1,1,0]",2,0,3
"1674400115503 ",1,"[1,1,1,0]","[1,-1,1,0]",1,2,3
"1674400115503 ",0,"[-1,1,1,0]","[1,1,1,0]",2,0,4
"1674400115503 ",1,"[-1,1,1,0]","[1,1,1,0]",1,2,4
"1674400115503 ",0,"[-1,1,1,0]","[1,-1,1,0]",0,1,5
"1674400115503 ",1,"[-1,1,1,0]","[1,-1,1,0]",0,1,5
"1674400343355 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674400343355 ",1,"[1,0,1,-1]","[0,1,1,-1]",2,0,0
"1674400343355 ",0,"[1,0,1,-1]","[1,0,1,1]",2,1,1
"1674400343355 ",1,"[1,0,1,-1]","[1,0,1,1]",2,0,1
"1674400343355 ",0,"[1,1,1,0]","[1,1,1,0]",2,0,2
"1674400343355 ",1,"[1,1,1,0]","[1,1,1,0]",2,0,2
"1674400343355 ",0,"[1,1,1,0]","[1,-1,1,0]",2,0,3
"1674400343355 ",1,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674400343355 ",0,"[-1,1,1,0]","[1,1,1,0]",2,0,4
"1674400343355 ",1,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674400343355 ",0,"[-1,1,1,0]","[1,-1,1,0]",2,0,5
"1674400343355 ",1,"[-1,1,1,0]","[1,-1,1,0]",2,0,5
"1674402099055 ",0,"[1,0,1,-1]","[0,1,1,-1]",2,0,0
"1674402099055 ",1,"[1,0,1,-1]","[0,1,1,-1]",2,0,0
"1674402099055 ",0,"[1,0,1,-1]","[1,0,1,1]",2,0,1
"1674402099055 ",1,"[1,0,1,-1]","[1,0,1,1]",2,0,1
"1674402099055 ",0,"[1,1,1,0]","[1,1,1,0]",2,0,2
"1674402099055 ",1,"[1,1,1,0]","[1,1,1,0]",2,0,2
"1674402099055 ",0,"[1,1,1,0]","[1,-1,1,0]",2,0,3
"1674402099055 ",1,"[1,1,1,0]","[1,-1,1,0]",2,0,3
"1674402099055 ",0,"[-1,1,1,0]","[1,1,1,0]",2,0,4
"1674402099055 ",1,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674402099055 ",0,"[-1,1,1,0]","[1,-1,1,0]",2,0,5
"1674402099055 ",1,"[-1,1,1,0]","[1,-1,1,0]",2,0,5
"1674409179066 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674409179066 ",1,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674409179066 ",0,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674409179066 ",1,"[1,0,1,-1]","[1,0,1,1]",2,1,1
"1674409179066 ",0,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674409179066 ",1,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674409179066 ",0,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674409179066 ",1,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674409179066 ",0,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674409179066 ",1,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674409179066 ",0,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674409179066 ",1,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674449701711 ",0,"[1,0,1,-1]","[0,1,1,-1]",2,0,0
"1674449701711 ",1,"[1,0,1,-1]","[0,1,1,-1]",2,0,0
"1674449701711 ",0,"[1,0,1,-1]","[1,0,1,1]",2,1,1
"1674449701711 ",1,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674449701711 ",0,"[1,1,1,0]","[1,1,1,0]",2,0,2
"1674449701711 ",1,"[1,1,1,0]","[1,1,1,0]",2,0,2
"1674449701711 ",0,"[1,1,1,0]","[1,-1,1,0]",2,0,3
"1674449701711 ",1,"[1,1,1,0]","[1,-1,1,0]",1,0,3
"1674449701711 ",0,"[-1,1,1,0]","[1,1,1,0]",2,0,4
"1674449701711 ",1,"[-1,1,1,0]","[1,1,1,0]",2,0,4
"1674449701711 ",0,"[-1,1,1,0]","[1,-1,1,0]",2,0,5
"1674449701711 ",1,"[-1,1,1,0]","[1,-1,1,0]",2,1,5
"1674519623240 ",0,"[1,0,1,-1]","[0,1,1,-1]",2,1,0
"1674519623240 ",1,"[1,0,1,-1]","[0,1,1,-1]",2,0,0
"1674519623240 ",0,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674519623240 ",1,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674519623240 ",0,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674519623240 ",1,"[1,1,1,0]","[1,1,1,0]",2,0,2
"1674519623240 ",0,"[1,1,1,0]","[1,-1,1,0]",2,1,3
"1674519623240 ",1,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674519623240 ",0,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674519623240 ",1,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674519623240 ",0,"[-1,1,1,0]","[1,-1,1,0]",2,1,5
"1674519623240 ",1,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674520120112 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674520120112 ",1,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674520120112 ",0,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674520120112 ",1,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674520120112 ",0,"[1,1,1,0]","[1,1,1,0]",2,0,2
"1674520120112 ",1,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674520120112 ",0,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674520120112 ",1,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674520120112 ",0,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674520120112 ",1,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674520120112 ",0,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674520120112 ",1,"[-1,1,1,0]","[1,-1,1,0]",2,0,5
"1674520279908 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674520279908 ",0,"[1,0,1,-1]","[1,0,1,1]",2,1,1
"1674520279908 ",0,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674528467206 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674528467206 ",1,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674528467206 ",0,"[1,0,1,-1]","[1,0,1,1]",2,1,1
"1674528467206 ",1,"[1,0,1,-1]","[1,0,1,1]",2,1,1
"1674528467206 ",0,"[1,1,1,0]","[1,1,1,0]",0,2,2
"1674528467206 ",1,"[1,1,1,0]","[1,1,1,0]",1,2,2
"1674528467206 ",0,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674528467206 ",1,"[1,1,1,0]","[1,-1,1,0]",0,2,3
"1674528467206 ",0,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674528467206 ",1,"[-1,1,1,0]","[1,1,1,0]",0,2,4
"1674528467206 ",0,"[-1,1,1,0]","[1,-1,1,0]",0,2,5
"1674528467206 ",1,"[-1,1,1,0]","[1,-1,1,0]",0,1,5
"1674534846624 ",0,"[1,0,1,-1]","[0,1,1,-1]",0,2,0
"1674534846624 ",0,"[1,0,1,-1]","[1,0,1,1]",1,2,1
"1674534846624 ",0,"[1,1,1,0]","[1,1,1,0]",2,1,2
"1674534846624 ",0,"[1,1,1,0]","[1,-1,1,0]",1,2,3
