"efforts_tuples","selected0","selected1","count","count_normalized"
"[-1,-1,-1,0]_[1,0,-1,-1]",1,2,1,0.25
"[-1,-1,-1,0]_[1,0,-1,0]",0,1,6,0.2
"[-1,-1,-1,0]_[1,0,-1,0]",0,2,12,0.4
"[-1,-1,-1,0]_[1,0,-1,0]",1,2,12,0.4
"[-1,-1,-1,0]_[1,0,-1,1]",0,1,10,0.333333333333333
"[-1,-1,-1,0]_[1,0,-1,1]",0,2,13,0.433333333333333
"[-1,-1,-1,0]_[1,0,-1,1]",1,2,7,0.233333333333333
"[-1,-1,-1,0]_[1,0,0,-1]",0,1,9,0.75
"[-1,-1,-1,0]_[1,0,0,-1]",0,2,1,0.0833333333333333
"[-1,-1,-1,0]_[1,0,0,-1]",1,2,2,0.166666666666667
"[-1,-1,-1,0]_[1,0,0,1]",0,1,2,0.222222222222222
"[-1,-1,-1,0]_[1,0,0,1]",0,2,3,0.333333333333333
"[-1,-1,-1,0]_[1,0,0,1]",1,2,4,0.444444444444444
"[-1,-1,-1,0]_[1,0,1,-1]",0,1,3,0.6
"[-1,-1,-1,0]_[1,0,1,-1]",0,2,0,0
"[-1,-1,-1,0]_[1,0,1,-1]",1,2,2,0.4
"[-1,-1,-1,0]_[1,0,1,0]",0,1,3,0.75
"[-1,-1,-1,0]_[1,0,1,0]",0,2,0,0
"[-1,-1,-1,0]_[1,0,1,0]",1,2,1,0.25
"[-1,-1,-1,0]_[1,0,1,1]",0,1,2,0.4
"[-1,-1,-1,0]_[1,0,1,1]",0,2,2,0.4
"[-1,-1,-1,0]_[1,0,1,1]",1,2,1,0.2
"[-1,-1,-1,0]_[1,1,-1,0]",0,1,5,0.416666666666667
"[-1,-1,-1,0]_[1,1,-1,0]",0,2,4,0.333333333333333
"[-1,-1,-1,0]_[1,1,-1,0]",1,2,3,0.25
"[-1,-1,-1,0]_[1,1,0,-1]",0,1,1,0.5
"[-1,-1,-1,0]_[1,1,0,-1]",0,2,1,0.5
"[-1,-1,-1,0]_[1,1,0,-1]",1,2,0,0
"[-1,-1,-1,0]_[1,1,0,0]",0,1,0,0
"[-1,-1,-1,0]_[1,1,0,0]",0,2,0,0
"[-1,-1,-1,0]_[1,1,0,0]",1,2,4,1
"[-1,-1,-1,0]_[1,1,0,1]",0,1,1,0.5
"[-1,-1,-1,0]_[1,1,0,1]",0,2,0,0
"[-1,-1,-1,0]_[1,1,0,1]",1,2,1,0.5
"[-1,-1,-1,0]_[1,1,1,0]",0,1,8,0.4
"[-1,-1,-1,0]_[1,1,1,0]",0,2,1,0.05
"[-1,-1,-1,0]_[1,1,1,0]",1,2,11,0.55
"[-1,-1,0,-1]_[-1,-1,0,0]",0,1,2,0.222222222222222
"[-1,-1,0,-1]_[-1,-1,0,0]",0,2,0,0
"[-1,-1,0,-1]_[-1,-1,0,0]",1,2,7,0.777777777777778
"[-1,-1,0,-1]_[-1,-1,0,1]",0,1,1,0.125
"[-1,-1,0,-1]_[-1,-1,0,1]",0,2,0,0
"[-1,-1,0,-1]_[-1,-1,0,1]",1,2,7,0.875
"[-1,-1,0,-1]_[-1,-1,1,0]",0,1,2,1
"[-1,-1,0,-1]_[-1,-1,1,0]",0,2,0,0
"[-1,-1,0,-1]_[-1,-1,1,0]",1,2,0,0
"[-1,-1,0,-1]_[-1,0,-1,-1]",0,1,3,0.333333333333333
"[-1,-1,0,-1]_[-1,0,-1,-1]",0,2,4,0.444444444444444
"[-1,-1,0,-1]_[-1,0,-1,-1]",1,2,2,0.222222222222222
"[-1,-1,0,-1]_[-1,0,-1,0]",0,1,1,0.25
"[-1,-1,0,-1]_[-1,0,-1,0]",0,2,1,0.25
"[-1,-1,0,-1]_[-1,0,-1,0]",1,2,2,0.5
"[-1,-1,0,-1]_[-1,0,-1,1]",0,1,3,0.5
"[-1,-1,0,-1]_[-1,0,-1,1]",0,2,0,0
"[-1,-1,0,-1]_[-1,0,-1,1]",1,2,3,0.5
"[-1,-1,0,-1]_[-1,0,0,-1]",0,1,3,0.375
"[-1,-1,0,-1]_[-1,0,0,-1]",0,2,4,0.5
"[-1,-1,0,-1]_[-1,0,0,-1]",1,2,1,0.125
"[-1,-1,0,-1]_[-1,0,0,1]",0,1,3,0.5
"[-1,-1,0,-1]_[-1,0,0,1]",0,2,0,0
"[-1,-1,0,-1]_[-1,0,0,1]",1,2,3,0.5
"[-1,-1,0,-1]_[-1,0,1,-1]",0,1,1,0.2
"[-1,-1,0,-1]_[-1,0,1,-1]",0,2,4,0.8
"[-1,-1,0,-1]_[-1,0,1,-1]",1,2,0,0
"[-1,-1,0,-1]_[-1,0,1,0]",0,1,10,0.416666666666667
"[-1,-1,0,-1]_[-1,0,1,0]",0,2,3,0.125
"[-1,-1,0,-1]_[-1,0,1,0]",1,2,11,0.458333333333333
"[-1,-1,0,-1]_[-1,0,1,1]",0,1,3,0.428571428571429
"[-1,-1,0,-1]_[-1,0,1,1]",0,2,1,0.142857142857143
"[-1,-1,0,-1]_[-1,0,1,1]",1,2,3,0.428571428571429
"[-1,-1,0,-1]_[-1,1,-1,0]",0,1,5,0.384615384615385
"[-1,-1,0,-1]_[-1,1,-1,0]",0,2,3,0.230769230769231
"[-1,-1,0,-1]_[-1,1,-1,0]",1,2,5,0.384615384615385
"[-1,-1,0,-1]_[-1,1,0,-1]",0,1,0,0
"[-1,-1,0,-1]_[-1,1,0,-1]",0,2,1,0.333333333333333
"[-1,-1,0,-1]_[-1,1,0,-1]",1,2,2,0.666666666666667
"[-1,-1,0,-1]_[-1,1,0,0]",0,1,1,0.5
"[-1,-1,0,-1]_[-1,1,0,0]",0,2,0,0
"[-1,-1,0,-1]_[-1,1,0,0]",1,2,1,0.5
