"efforts_tuples","selected0","selected1","count","count_normalized","selected_motions"
"[-1,-1,-1,0]_[0,1,-1,0]",1,2,5,0.384615384615385,"1_2"
"[-1,-1,-1,0]_[0,1,-1,1]",0,1,1,0.1,"0_1"
"[-1,-1,-1,0]_[0,1,-1,1]",0,2,8,0.8,"0_2"
"[-1,-1,-1,0]_[0,1,-1,1]",1,2,1,0.1,"1_2"
"[-1,-1,-1,0]_[0,1,0,-1]",0,1,12,0.923076923076923,"0_1"
"[-1,-1,-1,0]_[0,1,0,-1]",0,2,0,0,"0_2"
"[-1,-1,-1,0]_[0,1,0,-1]",1,2,1,0.0769230769230769,"1_2"
"[-1,-1,-1,0]_[0,1,0,1]",0,1,1,0.1,"0_1"
"[-1,-1,-1,0]_[0,1,0,1]",0,2,2,0.2,"0_2"
"[-1,-1,-1,0]_[0,1,0,1]",1,2,7,0.7,"1_2"
"[-1,-1,-1,0]_[0,1,1,-1]",0,1,9,0.75,"0_1"
"[-1,-1,-1,0]_[0,1,1,-1]",0,2,1,0.0833333333333333,"0_2"
"[-1,-1,-1,0]_[0,1,1,-1]",1,2,2,0.166666666666667,"1_2"
"[-1,-1,-1,0]_[0,1,1,0]",0,1,7,0.7,"0_1"
"[-1,-1,-1,0]_[0,1,1,0]",0,2,1,0.1,"0_2"
"[-1,-1,-1,0]_[0,1,1,0]",1,2,2,0.2,"1_2"
"[-1,-1,-1,0]_[0,1,1,1]",0,1,6,0.545454545454545,"0_1"
"[-1,-1,-1,0]_[0,1,1,1]",0,2,2,0.181818181818182,"0_2"
"[-1,-1,-1,0]_[0,1,1,1]",1,2,3,0.272727272727273,"1_2"
"[-1,-1,-1,0]_[1,-1,-1,0]",0,1,4,0.4,"0_1"
"[-1,-1,-1,0]_[1,-1,-1,0]",0,2,5,0.5,"0_2"
"[-1,-1,-1,0]_[1,-1,-1,0]",1,2,1,0.1,"1_2"
"[-1,-1,-1,0]_[1,-1,0,-1]",0,1,8,0.727272727272727,"0_1"
"[-1,-1,-1,0]_[1,-1,0,-1]",0,2,0,0,"0_2"
"[-1,-1,-1,0]_[1,-1,0,-1]",1,2,3,0.272727272727273,"1_2"
"[-1,-1,-1,0]_[1,-1,0,0]",0,1,4,0.363636363636364,"0_1"
"[-1,-1,-1,0]_[1,-1,0,0]",0,2,1,0.0909090909090909,"0_2"
"[-1,-1,-1,0]_[1,-1,0,0]",1,2,6,0.545454545454545,"1_2"
"[-1,-1,-1,0]_[1,-1,0,1]",0,1,1,0.0666666666666667,"0_1"
"[-1,-1,-1,0]_[1,-1,0,1]",0,2,2,0.133333333333333,"0_2"
"[-1,-1,-1,0]_[1,-1,0,1]",1,2,12,0.8,"1_2"
"[-1,-1,-1,0]_[1,-1,1,0]",0,1,3,0.3,"0_1"
"[-1,-1,-1,0]_[1,-1,1,0]",0,2,0,0,"0_2"
"[-1,-1,-1,0]_[1,-1,1,0]",1,2,7,0.7,"1_2"
"[-1,-1,-1,0]_[1,0,-1,-1]",0,1,11,0.647058823529412,"0_1"
"[-1,-1,-1,0]_[1,0,-1,-1]",0,2,3,0.176470588235294,"0_2"
"[-1,-1,-1,0]_[1,0,-1,-1]",1,2,3,0.176470588235294,"1_2"
"[-1,-1,-1,0]_[1,0,-1,0]",0,1,3,0.3,"0_1"
"[-1,-1,-1,0]_[1,0,-1,0]",0,2,5,0.5,"0_2"
"[-1,-1,-1,0]_[1,0,-1,0]",1,2,2,0.2,"1_2"
"[-1,-1,-1,0]_[1,0,-1,1]",0,1,5,0.5,"0_1"
"[-1,-1,-1,0]_[1,0,-1,1]",0,2,5,0.5,"0_2"
"[-1,-1,-1,0]_[1,0,-1,1]",1,2,0,0,"1_2"
"[-1,-1,-1,0]_[1,0,0,-1]",0,1,5,0.5,"0_1"
"[-1,-1,-1,0]_[1,0,0,-1]",0,2,1,0.1,"0_2"
