,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2
1519,"[(1, 0, 1, 0), (1, 0, 1, 1)]",0,1,5,0.5,0_1,0.0,0.0,0.3,0.0,0.2,0.0
1520,"[(1, 0, 1, 0), (1, 1, -1, 0)]",0,1,6,0.6,0_1,0.0,0.0,0.39999999999999997,0.0,0.39999999999999997,0.0
1521,"[(1, 0, 1, 0), (1, 1, 0, -1)]",0,1,7,0.7,0_1,0.0,0.0,0.49999999999999994,0.0,0.6,0.0
1522,"[(1, 0, 1, 0), (1, 1, 0, 0)]",0,1,6,0.461538461538462,0_1,0.0,0.0,0.38461538461538514,0.0,0.0,0.0
1523,"[(1, 0, 1, 0), (1, 1, 0, 1)]",0,1,11,0.6875,0_1,0.0,0.0,0.6875,0.0,0.375,0.0
1524,"[(1, 0, 1, 0), (1, 1, 1, 0)]",0,2,5,0.5,0_2,0.2,0.3,0.0,0.0,0.0,0.0
1525,"[(1, 0, 1, 1), (1, 1, -1, 0)]",0,1,6,0.6,0_1,0.0,0.0,0.6,0.0,0.19999999999999996,0.0
1526,"[(1, 0, 1, 1), (1, 1, 0, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.6,0.0,0.19999999999999996,0.0
1527,"[(1, 0, 1, 1), (1, 1, 0, 0)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.49999999999999994,0.0,0.6
1528,"[(1, 0, 1, 1), (1, 1, 0, 1)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.5,0.0,0.3
1529,"[(1, 0, 1, 1), (1, 1, 1, 0)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.363636363636363,0.0,0.272727272727272
1530,"[(1, 1, -1, 0), (1, 1, 0, -1)]",0,1,7,0.636363636363636,0_1,0.0,0.0,0.5454545454545451,0.0,0.36363636363636304,0.0
1531,"[(1, 1, -1, 0), (1, 1, 0, 0)]",1,2,4,0.4,1_2,0.0,0.0,0.0,0.10000000000000003,0.0,0.10000000000000003
1532,"[(1, 1, -1, 0), (1, 1, 0, 1)]",1,2,4,0.4,1_2,0.0,0.0,0.0,0.10000000000000003,0.0,0.10000000000000003
1533,"[(1, 1, -1, 0), (1, 1, 1, 0)]",1,2,4,0.4,1_2,0.0,0.0,0.0,0.10000000000000003,0.0,0.10000000000000003
1534,"[(1, 1, 0, -1), (1, 1, 0, 0)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.6000000000000001,0.0,0.8
1535,"[(1, 1, 0, -1), (1, 1, 0, 1)]",1,2,14,0.777777777777778,1_2,0.0,0.0,0.0,0.666666666666667,0.0,0.666666666666667
1536,"[(1, 1, 0, -1), (1, 1, 1, 0)]",1,2,7,0.583333333333333,1_2,0.0,0.0,0.0,0.4166666666666661,0.0,0.33333333333333304
1537,"[(1, 1, 0, 0), (1, 1, 0, 1)]",1,2,6,0.6,1_2,0.0,0.0,0.0,0.5,0.0,0.3
1538,"[(1, 1, 0, 0), (1, 1, 1, 0)]",0,1,8,0.727272727272727,0_1,0.0,0.0,0.636363636363636,0.0,0.545454545454545,0.0
1539,"[(1, 1, 0, 1), (1, 1, 1, 0)]",0,1,8,0.727272727272727,0_1,0.0,0.0,0.636363636363636,0.0,0.545454545454545,0.0
