,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2
1217,"[(0, 1, -1, -1), (0, 1, 0, -1)]",1,2,4,0.4,1_2,0.0,0.0,0.0,0.10000000000000003,0.0,0.10000000000000003
1218,"[(0, 1, -1, -1), (0, 1, 0, 1)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.7,0.0,0.39999999999999997
1219,"[(0, 1, -1, -1), (0, 1, 1, -1)]",0,2,5,0.5,0_2,0.3,0.2,0.0,0.0,0.0,0.0
1220,"[(0, 1, -1, -1), (0, 1, 1, 0)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.7000000000000001,0.0,0.7000000000000001
1221,"[(0, 1, -1, -1), (0, 1, 1, 1)]",1,2,11,1.0,1_2,0.0,0.0,0.0,1.0,0.0,1.0
1222,"[(0, 1, -1, -1), (1, -1, -1, 0)]",0,2,6,0.5,0_2,0.4166666666666667,0.08333333333333298,0.0,0.0,0.0,0.0
1223,"[(0, 1, -1, -1), (1, -1, 0, -1)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.6000000000000001,0.0,0.8
1224,"[(0, 1, -1, -1), (1, -1, 0, 0)]",1,2,10,1.0,1_2,0.0,0.0,0.0,1.0,0.0,1.0
1225,"[(0, 1, -1, -1), (1, -1, 0, 1)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.636363636363636
1226,"[(0, 1, -1, -1), (1, -1, 1, 0)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.636363636363636
1227,"[(0, 1, -1, -1), (1, 0, -1, -1)]",0,2,7,0.636363636363636,0_2,0.5454545454545451,0.36363636363636304,0.0,0.0,0.0,0.0
1228,"[(0, 1, -1, -1), (1, 0, -1, 0)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.09090909090909,0.0,0.545454545454545
1229,"[(0, 1, -1, -1), (1, 0, -1, 1)]",1,2,5,0.454545454545455,1_2,0.0,0.0,0.0,0.090909090909091,0.0,0.272727272727273
1230,"[(0, 1, -1, -1), (1, 0, 0, -1)]",1,2,10,0.909090909090909,1_2,0.0,0.0,0.0,0.909090909090909,0.0,0.818181818181818
1231,"[(0, 1, -1, -1), (1, 0, 0, 1)]",1,2,9,0.9,1_2,0.0,0.0,0.0,0.8,0.0,0.9
1232,"[(0, 1, -1, -1), (1, 0, 1, -1)]",0,1,5,0.454545454545455,0_1,0.0,0.0,0.181818181818182,0.0,0.181818181818182,0.0
1233,"[(0, 1, -1, -1), (1, 0, 1, 0)]",1,2,11,0.916666666666667,1_2,0.0,0.0,0.0,0.916666666666667,0.0,0.8333333333333337
1234,"[(0, 1, -1, -1), (1, 0, 1, 1)]",1,2,10,0.909090909090909,1_2,0.0,0.0,0.0,0.818181818181818,0.0,0.909090909090909
1235,"[(0, 1, -1, -1), (1, 1, -1, 0)]",1,2,7,0.636363636363636,1_2,0.0,0.0,0.0,0.45454545454545403,0.0,0.45454545454545403
1236,"[(0, 1, -1, -1), (1, 1, 0, -1)]",0,2,5,0.454545454545455,0_2,0.272727272727273,0.090909090909091,0.0,0.0,0.0,0.0
1237,"[(0, 1, -1, -1), (1, 1, 0, 0)]",1,2,9,0.818181818181818,1_2,0.0,0.0,0.0,0.7272727272727271,0.0,0.7272727272727271
1238,"[(0, 1, -1, -1), (1, 1, 0, 1)]",1,2,9,0.9,1_2,0.0,0.0,0.0,0.9,0.0,0.8
1239,"[(0, 1, -1, -1), (1, 1, 1, 0)]",1,2,9,0.9,1_2,0.0,0.0,0.0,0.8,0.0,0.9
1240,"[(0, 1, -1, 0), (0, 1, -1, 1)]",0,2,6,0.6,0_2,0.5,0.3,0.0,0.0,0.0,0.0
1241,"[(0, 1, -1, 0), (0, 1, 0, -1)]",0,1,7,0.583333333333333,0_1,0.0,0.0,0.583333333333333,0.0,0.16666666666666602,0.0
1242,"[(0, 1, -1, 0), (0, 1, 0, 1)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.6,0.0,0.49999999999999994
1243,"[(0, 1, -1, 0), (0, 1, 1, -1)]",0,1,7,0.636363636363636,0_1,0.0,0.0,0.5454545454545451,0.0,0.36363636363636304,0.0
1244,"[(0, 1, -1, 0), (0, 1, 1, 0)]",1,2,8,0.8,1_2,0.0,0.0,0.0,0.7000000000000001,0.0,0.7000000000000001
