,efforts_tuples,selected0,selected1,count,count_normalized,selected_motions,alpha_0_2,alpha_2_0,alpha_0_1,alpha_2_1,alpha_1_0,alpha_1_2
1398,"[(1, -1, -1, 0), (1, 0, 1, 1)]",1,2,5,0.454545454545455,1_2,0.0,0.0,0.0,0.272727272727273,0.0,0.090909090909091
1399,"[(1, -1, -1, 0), (1, 1, -1, 0)]",0,2,5,0.5,0_2,0.2,0.3,0.0,0.0,0.0,0.0
1400,"[(1, -1, -1, 0), (1, 1, 0, -1)]",1,2,6,0.545454545454545,1_2,0.0,0.0,0.0,0.545454545454545,0.0,0.09090909090909
1401,"[(1, -1, -1, 0), (1, 1, 0, 0)]",1,2,10,0.833333333333333,1_2,0.0,0.0,0.0,0.833333333333333,0.0,0.6666666666666661
1402,"[(1, -1, -1, 0), (1, 1, 0, 1)]",1,2,7,0.7,1_2,0.0,0.0,0.0,0.7,0.0,0.39999999999999997
1403,"[(1, -1, -1, 0), (1, 1, 1, 0)]",0,1,5,0.5,0_1,0.0,0.0,0.5,0.0,0.0,0.0
1404,"[(1, -1, 0, -1), (1, -1, 0, 0)]",1,2,7,0.5,1_2,0.0,0.0,0.0,0.357142857142857,0.0,0.14285714285714302
1405,"[(1, -1, 0, -1), (1, -1, 0, 1)]",0,1,8,0.666666666666667,0_1,0.0,0.0,0.666666666666667,0.0,0.333333333333334,0.0
1406,"[(1, -1, 0, -1), (1, -1, 1, 0)]",0,1,8,0.571428571428571,0_1,0.0,0.0,0.49999999999999956,0.0,0.21428571428571397,0.0
1407,"[(1, -1, 0, -1), (1, 0, -1, -1)]",0,2,9,0.529411764705882,0_2,0.05882352941176405,0.529411764705882,0.0,0.0,0.0,0.0
1408,"[(1, -1, 0, -1), (1, 0, -1, 0)]",0,1,8,0.8,0_1,0.0,0.0,0.8,0.0,0.6000000000000001,0.0
1409,"[(1, -1, 0, -1), (1, 0, -1, 1)]",0,1,5,0.5,0_1,0.0,0.0,0.4,0.0,0.09999999999999998,0.0
1410,"[(1, -1, 0, -1), (1, 0, 0, -1)]",0,2,4,0.4,0_2,0.10000000000000003,0.10000000000000003,0.0,0.0,0.0,0.0
1411,"[(1, -1, 0, -1), (1, 0, 0, 1)]",0,1,8,0.571428571428571,0_1,0.0,0.0,0.49999999999999956,0.0,0.21428571428571397,0.0
1412,"[(1, -1, 0, -1), (1, 0, 1, -1)]",0,1,6,0.6,0_1,0.0,0.0,0.3,0.0,0.5,0.0
1413,"[(1, -1, 0, -1), (1, 0, 1, 0)]",0,2,4,0.4,0_2,0.10000000000000003,0.10000000000000003,0.0,0.0,0.0,0.0
1414,"[(1, -1, 0, -1), (1, 0, 1, 1)]",0,1,7,0.7,0_1,0.0,0.0,0.6,0.0,0.49999999999999994,0.0
1415,"[(1, -1, 0, -1), (1, 1, -1, 0)]",0,1,6,0.461538461538462,0_1,0.0,0.0,0.07692307692307698,0.0,0.30769230769230804,0.0
1416,"[(1, -1, 0, -1), (1, 1, 0, -1)]",0,2,10,0.714285714285714,0_2,0.571428571428571,0.571428571428571,0.0,0.0,0.0,0.0
